Manuscript Number,Current Status
PONE-D-15-14389R2,Completed Accept
PONE-D-15-14391,Completed Withdrawn
PONE-D-15-14394R2,Completed Withdrawn
PONE-D-15-14401R1,Completed Accept
PONE-D-15-14403R1,Completed Accept
PONE-D-15-14410R3,Completed Accept
PONE-D-15-14416R1,Completed Accept
PONE-D-15-14419,Completed Reject
PONE-D-15-14421R1,Completed Accept
PONE-D-15-14423R1,Completed Accept
PONE-D-15-14428,Completed Reject
PONE-D-15-14429R1,Completed Accept
PONE-D-15-14431R1,Completed Accept
PONE-D-15-14449,Completed Reject
PONE-D-15-14454,Completed Withdrawn
PONE-D-15-14457R1,Completed Accept
PONE-D-15-14459,Completed Reject
PONE-D-15-14462,Completed Withdrawn
PONE-D-15-14466R2,Completed Accept
PONE-D-15-14470,Completed Reject
PONE-D-15-14475,Completed Reject
PONE-D-15-14477,Completed Withdrawn
PONE-D-15-14489,Completed Accept
PONE-D-15-14490R2,Completed Reject
PONE-D-15-14502,Completed Reject
PONE-D-15-14503,Completed Reject
PONE-D-15-14515R2,Completed Accept
PONE-D-15-14520,Completed Reject
PONE-D-15-14526R2,Completed Accept
PONE-D-15-14533R2,Completed Accept
PONE-D-15-14535,Completed Reject
PONE-D-15-14541R2,Completed Accept
PONE-D-15-14546,Completed Reject
PONE-D-15-14551R2,Completed Reject
PONE-D-15-14581,Completed Reject
PONE-D-15-14592R3,Completed Accept
PONE-D-15-14603R1,Completed Accept
PONE-D-15-14608R1,Completed Accept
PONE-D-15-14609R2,Completed Accept
PONE-D-15-14614,Completed Withdrawn
PONE-D-15-14615R1,Completed Accept
PONE-D-15-14622R2,Completed Accept
PONE-D-15-14633R1,Completed Accept
PONE-D-15-14639,Completed Accept
PONE-D-15-14644,Completed Reject
PONE-D-15-14667,Completed Reject
PONE-D-15-14684R1,Completed Reject
PONE-D-15-14687R2,Completed Accept
PONE-D-15-14689,Completed Reject
PONE-D-15-14694,Completed Reject
PONE-D-15-14699R2,Completed Accept
PONE-D-15-14707R1,Completed Accept
PONE-D-15-14709R1,Completed Accept
PONE-D-15-14718,Completed Reject
PONE-D-15-14719,Completed Withdrawn
PONE-D-15-14720R2,Completed Accept
PONE-D-15-14722,Completed Withdrawn
PONE-D-15-14735,Completed Reject
PONE-D-15-14739,Completed Withdrawn
PONE-D-15-14741,Completed Reject
PONE-D-15-14742,Completed Reject
PONE-D-15-14750R2,Accept
PONE-D-15-14775,Completed Reject
PONE-D-15-14776,Completed Reject
PONE-D-15-14779R1,Completed Withdrawn
PONE-D-15-14782,Completed Reject
PONE-D-15-14784R1,Completed Accept
PONE-D-15-14786,Completed Withdrawn
PONE-D-15-14789R1,Completed Accept
PONE-D-15-14790,Completed Reject
PONE-D-15-14793,Completed Withdrawn
PONE-D-15-14813R1,Completed Accept
PONE-D-15-14816R1,Completed Accept
PONE-D-15-14819,Completed Withdrawn
PONE-D-15-14822,Completed Reject
PONE-D-15-14827,Completed Withdrawn
PONE-D-15-14832,Completed Reject
PONE-D-15-14835,Completed Reject
PONE-D-15-14841,Completed Reject
PONE-D-15-14849,Completed Reject
PONE-D-15-14853,Completed Withdrawn
PONE-D-15-14856R1,Completed Accept
PONE-D-15-14862R2,Completed Accept
PONE-D-15-14871,Completed Reject
PONE-D-15-14872,Completed Withdrawn
PONE-D-15-14879R1,Completed Accept
PONE-D-15-14881R1,Completed Accept
PONE-D-15-14902R1,Completed Accept
PONE-D-15-14907,Completed Reject
PONE-D-15-14908,Completed Reject
PONE-D-15-14915R1,Completed Accept
PONE-D-15-14920,Completed Reject
PONE-D-15-14921R1,Completed Accept
PONE-D-15-14923R1,Completed Accept
PONE-D-15-14954,Completed Reject
PONE-D-15-14958R3,Completed Accept
PONE-D-15-14960R2,Completed Accept
PONE-D-15-14961,Completed Reject
PONE-D-15-14975R1,Completed Accept
PONE-D-15-14986,Completed Reject
PONE-D-15-14993,Completed Reject
PONE-D-15-15007R1,Completed Accept
PONE-D-15-15011R3,Completed Accept
PONE-D-15-15013R1,Completed Accept
PONE-D-15-15014,Completed Reject
PONE-D-15-15021R1,Completed Accept
PONE-D-15-15027,Completed Reject
PONE-D-15-15030R3,Completed Accept
PONE-D-15-15043R1,Completed Accept
PONE-D-15-15044,Completed Reject
PONE-D-15-15045,Completed Reject
PONE-D-15-15055R1,Completed Accept
PONE-D-15-15061R2,Completed Accept
PONE-D-15-15070,Completed Reject
PONE-D-15-15071R1,Completed Accept
PONE-D-15-15072R1,Completed Accept
PONE-D-15-15076R1,Completed Accept
PONE-D-15-15077R1,Completed Accept
PONE-D-15-15078,Completed Reject
PONE-D-15-15092R2,Completed Accept
PONE-D-15-15101R2,Completed Accept
PONE-D-15-15105R1,Completed Accept
PONE-D-15-15115R3,Completed Accept
PONE-D-15-15126R3,Revise
PONE-D-15-15128,Completed Reject
PONE-D-15-15130,Completed Reject
PONE-D-15-15132R2,Completed Accept
PONE-D-15-15146R2,Completed Accept
PONE-D-15-15151,Completed Reject
PONE-D-15-15153R2,Completed Accept
PONE-D-15-15157,Completed Reject
PONE-D-15-15172,Completed Reject
PONE-D-15-15179,Completed Withdrawn
PONE-D-15-15195R2,Completed Accept
PONE-D-15-15197,Completed Reject
PONE-D-15-15198,Completed Reject
PONE-D-15-15209,Completed Reject
PONE-D-15-15223,Completed Reject
PONE-D-15-15225R1,Completed Accept
PONE-D-15-15229R2,Completed Accept
PONE-D-15-15236R1,Completed Accept
PONE-D-15-15241,Completed Reject
PONE-D-15-15252,Completed Reject
PONE-D-15-15255R1,Completed Accept
PONE-D-15-15266R1,Completed Withdrawn
PONE-D-15-15268,Completed Reject
PONE-D-15-15273R1,Completed Accept
PONE-D-15-15277R2,Completed Accept
PONE-D-15-15286,Completed Reject
PONE-D-15-15287R1,Completed Accept
PONE-D-15-15310,Completed Reject
PONE-D-15-15311R3,Completed Accept
PONE-D-15-15312R1,Completed Accept
PONE-D-15-15313R2,Completed Accept
PONE-D-15-15314,Completed Reject
PONE-D-15-15319R2,Completed Accept
PONE-D-15-15320,Completed Reject
PONE-D-15-15322R1,Completed Accept
PONE-D-15-15324R1,Completed Accept
PONE-D-15-15327,Completed Accept
PONE-D-15-15337,Completed Reject
PONE-D-15-15338,Completed Withdrawn
PONE-D-15-15343,Completed Reject
PONE-D-15-15365R1,Completed Reject
PONE-D-15-15370,Completed Reject
PONE-D-15-15373R1,Completed Accept
PONE-D-15-15381R2,Completed Accept
PONE-D-15-15386,Completed Reject
